id,no_unit,nama_unit,aset,cap_on,aset_desc,acq_val,bulan,depre
52,0,0,150167,2014-03-18,Bak Dump Besi Standard utk Truck MIT Canter,44000000,2024-11-30,-44000000.0
53,0,0,150168,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-11-30,-42700000.0
54,0,0,150169,2014-03-18,Delete,0,2024-11-30,0.0
55,0,0,150170,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-11-30,-41873675.0
56,0,0,150171,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-11-30,-42700000.0
57,0,0,150172,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-11-30,-42700000.0
58,0,0,150173,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-11-30,-41873675.0
59,0,0,150174,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-11-30,-41873675.0
60,KB 1582 VA,Mobil KB 1582 VA,150176,2014-10-27,Toyota New Fortuner 2.5 G A/T 4X4 DIESEL Thn 2014,474050064,2024-11-30,-474050064.0
61,0,0,150177,2014-11-21,Trailer Tangki Air Semprot Kapasitas 5 Ton,46894179,2024-11-30,-46894179.0
62,BL 01,0,150178,2016-07-11,Backhoe Loader,1005126216,2024-11-30,-1005126216.0
63,0,0,150179,2008-03-02,TANGKI SOLAR KAPASITAS 6000 LITER & AKSESORIS,13750000,2024-11-30,-13750000.0
64,0,0,150180,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-11-30,-8650000.0
65,0,0,150181,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-11-30,-8650000.0
66,0,0,150182,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-11-30,-8650000.0
67,0,0,150183,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-11-30,-8650000.0
68,0,0,150184,2009-09-03,Motor Kawasaki KLX,24100000,2024-11-30,-24100000.0
69,0,0,150185,2009-09-03,Motor Kawasaki KLX,24100000,2024-11-30,-24100000.0
70,0,0,150186,2014-01-29,Toyota Hilux DC G M/T 2.5 Diesel Silver Metalic,351029380,2024-11-30,-351029380.0
71,0,0,150187,2014-01-29,Ban Luar 31 - 10.5 R15 D673,5235523,2024-11-30,-5235523.0
72,0,0,150188,2014-01-29,Kaca Film Toyota Hilux Double Cabin V-Kool,6682123,2024-11-30,-6682123.0
73,KB 8233 VA,Mobil KB 8233 VA,150192,2018-11-10,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170287/0505089,307636364,2024-11-30,-233931843.0
74,KB 8235 VA,Mobil KB 8235 VA,150193,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170284/4513152,307636364,2024-11-30,-233931843.0
75,KB 8234 VA,Mobil KB 8234 VA,150194,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170289/0505399,307636364,2024-11-30,-233931843.0
76,WT 19,Wheel Tractor 19,150195,2018-12-10,TRACTOR JD NO.RK/MSN 15XHJ0036305/PE4045E009693,598000000,2024-11-30,-448499970.0
77,WT 20,Wheel Tractor 20,150196,2018-12-10,TRACTOR JD NO.RK/MSN 15XEJ0036306/PE4045E009753,598000000,2024-11-30,-448499970.0
78,WT 21,Wheel Tractor 21,150197,2018-12-10,TRACTOR JD NO.RK/MSN 15XCJ0036307/PE4045E009694,598000000,2024-11-30,-448499970.0
79,DT 07,Dump Truck 07,150198,2019-01-01,Hino Dutro No.R/Msn :MJECIJG43J5173895/W04DTR63691,332638545,2024-11-30,-246013931.0
80,DT 06,Dump Truck 06,150199,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173894/W04DTRR63650,332638545,2024-11-30,-246013931.0
81,DT 05,Dump Truck 05,150200,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173893/W04DTRR63649,332638545,2024-11-30,-246013931.0
82,DT 04,Dump Truck 04,150201,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173892/W04DTRR63648,332638545,2024-11-30,-246013931.0
83,BL 03,Backho Loader 03,150202,2019-01-01,Backhoe Loader 3DX : HAR3DXSUAJ1609822/H00195772,985000000,2024-11-30,-728489553.0
84,BL 04,Backho Loader 04,150203,2019-01-01,Backhoe Loader 3DX : HAR3DXSUEJ1609906/H00199901,985000000,2024-11-30,-728489553.0
85,0,0,150204,2019-01-02,Tipping Trailer 9.00-20,228000000,2024-11-30,-168625000.0
86,KB 8417 VA,Mobil KB 8417 VA,150205,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN XK1208532/4635480,457761800,2024-11-30,-319479586.0
87,KB 8419 VA,Mobil KB 8419 VA,150206,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 4K1120964/4642261,457761800,2024-11-30,-319479586.0
88,KB 8418 VA,Mobil KB 8418 VA,150207,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 7K1120991/4645194,438261800,2024-11-30,-305870211.0
89,DT 12,Dump Truck 12,150208,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182412/W04DTRR72303,344181818,2024-11-30,-218698897.0
90,DT 11,Dump Truck 11,150209,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182411/W04DTRR72302,344181818,2024-11-30,-218698897.0
91,DT 10,Dump Truck 10,150210,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182410/W04DTRR72301,344181818,2024-11-30,-218698897.0
92,DT 09,Dump Truck 09,150211,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182409/W04DTRR72295,344181818,2024-11-30,-218698897.0
93,DT 08,Dump Truck 08,150212,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182408/W04DTRR72294,344181819,2024-11-30,-218698897.0
94,DT 14,Dump Truck 14,150213,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182414/W04DTRR72305,344181819,2024-11-30,-218698897.0
95,DT 13,Dump Truck 13,150214,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182413/W04DTRR72304,344181819,2024-11-30,-218698897.0
96,WL 01,Wheel Loader 01,150215,2019-11-28,WHEEL LOADER 924K CL2 KW402112 PO 1277,2000000000,2024-11-30,-1270833364.0
97,Exca 06,Excavator 06,150216,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10284 PO 1277,1091000000,2024-11-30,-693239614.0
98,Exca 05,Excavator 05,150217,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10287 PO 1277,1091000000,2024-11-30,-693239614.0
99,Exca 04,Excavator 04,150218,2019-11-28,EXCAVATOR 20T (320) YBP00998 PO 1277,1600300000,2024-11-30,-1016857261.0
100,CP 02,Compactor 02,150219,2019-11-28,COMPACTOR CS11GC RK800289 PO 1277,856000000,2024-11-30,-543916636.0
101,MG 03,Motor Greader 03,150220,2019-11-28,MOTOR GRADER 120K SZN20204 PO 1277,2061500000,2024-11-30,-1309911489.0
102,KB 8641 VA,Mobil KB 8641 VA,150221,2020-04-08,Toyota Hilux Double Cabin 2.4G MR0KB8CD1-L1210817,412643848,2024-11-30,-240708938.0
103,KB 8638 VA,Mobil KB 8638 VA,150222,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210891,412643848,2024-11-30,-240708938.0
104,KB 8639 VA,Mobil KB 8639 VA,150223,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210888,412643848,2024-11-30,-240708938.0
105,Exca 07,Excavator 07,150224,2020-06-08,EXCAVATOR 20T NO. SERI: YBP01063 PO 0477,1670000000,2024-11-30,-939375030.0
106,MG 04,Motor Greader 04,150225,2020-06-08,MOTOR GRADER 120K NO. SERI: E9600207 PO 0477,2308000000,2024-11-30,-1298249970.0
107,CP 03,Compactor 03,150226,2020-06-08,COMPACTOR CS11GC NO. SERI: RK800558 PO 0477,900000000,2024-11-30,-506250000.0
108,FOR 01,Forklift 01,150227,2020-06-08,FORKLIFT DP30ND NO. SERI: CT14E-20721 PO 0477,301000000,2024-11-30,-169312470.0
109,DAMKAR 02,Damkar 02,150228,2020-06-24,Truk Hino Dutro 130HD MJEC1JG43L5187994 PO 0056,363909090,2024-11-30,-204698832.0
110,DT 15,Dump Truck 15,150229,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188597 PO 0480,369981818,2024-11-30,-208114806.0
111,DT 16,Dump Truck 16,150230,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188600 PO 0480,369981818,2024-11-30,-208114806.0
112,DT 17,Dump Truck 17,150231,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188602 PO 0480,369981818,2024-11-30,-208114806.0
113,DT 18,Dump Truck 18,150232,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188603 PO 0480,369981818,2024-11-30,-208114806.0
114,DT 19,Dump Truck 19,150233,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188604 PO 0480,369981818,2024-11-30,-208114806.0
115,TR 01,Tronton 01,150234,2020-07-15,Tronton Hino FM 260 JW MJEC1JG43L5188603 PO 0406,1271418182,2024-11-30,-701928815.0
116,Exca 08,Excavator Mini 08,150235,2020-11-26,EXCAVATOR CAT 305.5E2 MINI 7LD2957 PO 1124,620000000,2024-11-30,-316458364.0
117,CP 04,Compactor 04,150236,2021-03-27,Sakai Vibrating Roller SV526D ID 25V70-10269 PO176,860000000,2024-11-30,-403124999.99999934
118,MG 05,Motor Greader 05,150237,2021-04-30,Komatsu Motor Grader GD535-5 J10185 PO 0187,2050000000,2024-11-30,-939583333.3333348
119,Exca 09,Excavator Mini 09,150238,2021-04-28,Mini Excavator Catterpillar M13C00305.5E2 PO 0174,628100000,2024-11-30,-287879166.6666671
120,WT 22,Wheel Tractor 22,150239,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO12 PO 0102,265000000,2024-11-30,-118697916.66666676
121,WT 23,Wheel Tractor 23,150240,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO14 PO 0102,265000000,2024-11-30,-118697916.66666676
122,0,0,150241,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-11-30,-23739583.33333329
123,0,0,150242,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-11-30,-23739583.33333329
124,WT 22,Wheel Tractor 22,150243,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-11-30,-73906250.0
125,WT 23,Wheel Tractor 23,150244,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-11-30,-73906250.0
126,BL 05,Backho Loader 05,150245,2021-05-12,Backhoe Loader JCB 3DX-4T-CM H00291096 PO 0175,1000000000,2024-11-30,-447916666.6666659
127,BIN 01,BIN System 01,150246,2021-06-21,Truck Hino Dutro 130 HD MJEC1JG43L5191023 PO 0017,481818181,2024-11-30,-210795454.1875004
128,BIN 01,BIN System 01,150247,2021-06-21,Bak Bin System Incl. Transport PO 0020,215306120,2024-11-30,-94196427.49999984
129,KB 8890 VA,Mobil KB 8890 VA,150248,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110752 PO 0327,318500000,2024-11-30,-139343749.99999982
130,KB 8892 VA,Mobil KB 8892 VA,150249,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110735 PO 0327,318500000,2024-11-30,-139343749.99999982
131,KB 8891 VA,Mobil KB 8891 VA,150250,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB8-M0110793 PO 0327,318500000,2024-11-30,-139343749.99999982
132,DT 21,Dump Truck 21,150251,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035075 PO721,420436364,2024-11-30,-166422727.41666692
133,DT 22,Dump Truck 22,150252,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035076 PO721,420436364,2024-11-30,-166422727.41666692
134,DT 23,Dump Truck 23,150253,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035078 PO721,420436364,2024-11-30,-166422727.41666692
135,DT 20,Dump Truck 20,150254,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035054 PO721,420436364,2024-11-30,-166422727.41666692
136,Exca 10,Excavator 10,150255,2022-02-11,Excavator CAT 313D2 CAT-MFX11679 LKR00254 PO 1395,1210000000,2024-11-30,-428541666.6666672
137,Exca 11,Excavator 11,150256,2022-02-11,Excavator CAT 313D2 CAT-MFX11678 LKR00256 PO 1395,1210000000,2024-11-30,-428541666.6666672
138,Exca 12,Excavator Mini 12,150257,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216651 PO 1396,668500000,2024-11-30,-229796875.0000003
139,Exca 13,Excavator Mini 13,150258,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216656 PO 1396,668500000,2024-11-30,-229796875.0000003
140,Exca 14,Excavator Mini 14,150259,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216682 PO 1396,668500000,2024-11-30,-229796875.0000003
141,Exca 15,Excavator Mini 15,150260,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216693 PO 1396,668500000,2024-11-30,-229796875.0000003
142,WT 24,Wheel Tractor 24,150261,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000056 PO 0009,440000000,2024-11-30,-151250000.0000002
143,WT 25,Wheel Tractor 25,150262,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000053 PO 0009,440000000,2024-11-30,-151250000.0000002
144,WT 26,Wheel Tractor 26,150263,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000047 PO 0009,440000000,2024-11-30,-151250000.0000002
145,WT 27,Wheel Tractor 27,150264,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000046 PO 0009,440000000,2024-11-30,-151250000.0000002
146,0,0,150265,2022-03-25,Honda CB150X STD MH1KCE118NK006042 PO 0294,30359182,2024-11-30,-20871937.625000022
147,0,0,150266,2022-03-25,Honda CB150X STD MH1KCE11XN005510 PO 0294,30359182,2024-11-30,-20871937.625000022
148,0,0,150267,2022-03-25,Honda CB150X STD MH1KCE113NK006588 PO 0294,30359182,2024-11-30,-20871937.625000022
149,KB 8167 VB,Mobil KB 8167 VB,150268,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD7-N1130070 PO 0150,422500000,2024-11-30,-140833333.33333313
150,KB 8166 VB,Mobil KB 8166 VB,150269,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD9-N1215007 PO 0150,422500000,2024-11-30,-140833333.33333313
151,KB 8183 VB,Mobil KB 8183 VB,150270,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD3-N1130308 PO 0150,422500000,2024-11-30,-140833333.33333313
152,BIN 02,BIN System 02,150271,2022-04-07,Bak Bin System (No. 6) PO 1169,44400000,2024-11-30,-14800000.0
153,BIN 02,BIN System 02,150272,2022-04-07,Bak Bin System (No. 7) PO 1169,44400000,2024-11-30,-14800000.0
154,BIN 02,BIN System 02,150273,2022-04-07,Bak Bin System (No. 8) PO 1169,44400000,2024-11-30,-14800000.0
155,BIN 02,BIN System 02,150274,2022-04-07,Bak Bin System (No. 9) PO 1169,44400000,2024-11-30,-14800000.0
156,BIN 02,BIN System 02,150275,2022-04-07,Bak Bin System (No. 10) PO 1169,44400000,2024-11-30,-14800000.0
157,BIN 03,BIN System 03,150276,2022-04-07,Bak Bin System (No. 11) PO 1169,44400000,2024-11-30,-14800000.0
158,BIN 03,BIN System 03,150277,2022-04-07,Bak Bin System (No. 12) PO 1169,44400000,2024-11-30,-14800000.0
159,BIN 03,BIN System 03,150278,2022-04-07,Bak Bin System (No. 13) PO 1169,44400000,2024-11-30,-14800000.0
160,BIN 03,BIN System 03,150279,2022-04-07,Bak Bin System (No. 14) PO 1169,44400000,2024-11-30,-14800000.0
161,BIN 03,BIN System 03,150280,2022-04-07,Bak Bin System (No. 15) PO 1169,44400000,2024-11-30,-14800000.0
162,BIN 03,BIN System 03,150281,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039127 PO1168,530472727,2024-11-30,-176824242.33333328
163,BIN 02,BIN System 02,150282,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039126 PO1168,530472727,2024-11-30,-176824242.33333328
164,DT 24,Dump Truck 24,150283,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041190 PO 0010,443163636,2024-11-30,-147721212.0
165,DT 25,Dump Truck 25,150284,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041211 PO 0010,443163636,2024-11-30,-147721212.0
166,DT 26,Dump Truck 26,150285,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041218 PO 0010,443163636,2024-11-30,-147721212.0
167,DT 27,Dump Truck 27,150286,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041220 PO 0010,443163636,2024-11-30,-147721212.0
168,DT 28,Dump Truck 28,150287,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041223 PO 0010,443163636,2024-11-30,-147721212.0
169,DT 29,Dump Truck 29,150288,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041224 PO 0010,443163636,2024-11-30,-147721212.0
170,DT 30,Dump Truck 30,150289,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041231 PO 0010,443163636,2024-11-30,-147721212.0
171,DT 31,Dump Truck 31,150290,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041232 PO 0010,443163636,2024-11-30,-147721212.0
172,DT 32,Dump Truck 32,150291,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041233 PO 0010,443163636,2024-11-30,-147721212.0
173,DT 33,Dump Truck 33,150292,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041235 PO 0010,443163636,2024-11-30,-147721212.0
174,WT 24,Wheel Tractor 24,150293,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-11-30,-29833333.333333347
175,WT 25,Wheel Tractor 25,150294,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-11-30,-29833333.333333347
176,WT 26,Wheel Tractor 26,150295,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-11-30,-29833333.333333347
177,WT 27,Wheel Tractor 27,150296,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-11-30,-29833333.333333347
178,WT 28,Wheel Tractor 28,150297,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100026 PO 0395,490000000,2024-11-30,-158229166.6666668
179,WT 29,Wheel Tractor 29,150298,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100027 PO 0395,490000000,2024-11-30,-158229166.6666668
180,WT 30,Wheel Tractor 30,150299,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100028 PO 0395,490000000,2024-11-30,-158229166.6666668
181,WT 31,Wheel Tractor 31,150300,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100029 PO 0395,490000000,2024-11-30,-158229166.6666668
182,DT 34,Dump Truck 34,150301,2022-05-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041959 PO 0323,444349550,2024-11-30,-143487875.52083352
183,DT 35,Dump Truck 35,150302,2022-05-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041960 PO 0323,444349550,2024-11-30,-143487875.52083352
184,WT 28,Wheel Tractor 28,150303,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-11-30,-24218750.0
185,WT 29,Wheel Tractor 29,150304,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-11-30,-24218750.0
186,WT 30,Wheel Tractor 30,150305,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-11-30,-24218750.0
187,WT 31,Wheel Tractor 31,150306,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-11-30,-24218750.0
188,KB 8324 VB,Mobil KB 8324 VB,150307,2022-05-18,Toyota Hilux DC 2.4 MR0KB8CD6-N1132067 PO 0158,432725225,2024-11-30,-139734187.23958352
189,KB 8305 VB,Mobil KB 8305 VB,150308,2022-05-18,Toyota Hilux DC 2.4 MR0KB8CDX-N1131925 PO 0158,432725225,2024-11-30,-139734187.23958352
190,0,0,150309,2022-06-06,Honda CB150 Verza CW MH1KCO215N168986 PO 0123,20331595,2024-11-30,0.0
191,0,0,150310,2022-06-06,Honda CB150 Verza CW MH1KCO217N168231 PO 0123,20331595,2024-11-30,0.0
192,0,0,150311,2022-06-06,Honda CB150 Verza CW MH1KCO215N168262 PO 0123,20331595,2024-11-30,0.0
193,0,0,150312,2022-06-06,Honda CB150 Verza CW MH1KCO213N170168 PO 0123,20331595,2024-11-30,0.0
194,Exca 16,Excavator 16,150313,2022-06-20,Excavator 313D2LGP CAT0313DELKR00332 PO 0343,1200000000,2024-11-30,-375000000.0
195,Exca 17,Excavator 17,150314,2022-06-20,Excavator 313D2LGP CAT0313DTLKR00334 PO 0343,1200000000,2024-11-30,-375000000.0
196,BL 06,Backho Loader 06,150315,2022-06-16,Backhoe Loader 3DX Plus CM HAR3DXSULN3130375 PO342,1050000000,2024-11-30,-328125000.0
197,BL 07,Backho Loader 07,150316,2022-06-16,Backhoe Loader 3DX Plus CM HAR3DXSULN3130371 PO342,1050000000,2024-11-30,-328125000.0
198,MG 06,Motor Greader 06,150317,2022-07-13,Motor Grader 120NG E9600954 PO 0348,2415000000,2024-11-30,-729531250.0
199,Exca 18,Excavator Mini 18,150318,2022-07-13,Excavator Mini 305.5E2 WE216887 PO 0345,680000000,2024-11-30,-205416666.66666675
